Destination,State,Min_Budget,Max_Budget,Best_Time,Highlights
Taj Mahal,Uttar Pradesh,5000,15000,Oct to Mar,"Historical monument, architecture"
Jaipur,Rajasthan,7000,18000,Oct to Mar,"Palaces, forts, vibrant culture"
Manali,Himachal Pradesh,8000,20000,Mar to Jun,"Snow, adventure sports, nature"
Goa,Goa,10000,25000,Nov to Feb,"Beaches, nightlife, seafood"
Munnar,Kerala,6000,18000,Sep to Mar,"Backwaters, tea plantations"
Rishikesh,Uttarakhand,5000,12000,Mar to May,"Yoga, river rafting, spirituality"
Andaman & Nicobar,Union Territory,15000,35000,Nov to May,"Beaches, scuba diving, water sports"
Leh-Ladakh,Jammu & Kashmir,20000,40000,Jun to Sep,"Mountains, biking, monasteries"
Darjeeling,West Bengal,8000,20000,Mar to May,"Tea gardens, Himalayan views"
Varanasi,Uttar Pradesh,4000,10000,Oct to Mar,"Ghats, temples, Ganga aarti"
Udaipur,Rajasthan,6000,16000,Sep to Mar,"Lakes, palaces, romantic getaway"
Shimla,Himachal Pradesh,7000,17000,Mar to Jun,"Hill station, colonial charm"
Kodaikanal,Tamil Nadu,6000,15000,Apr to Jun,"Cool climate, lakes, nature walks"
Ooty,Tamil Nadu,6000,15000,Sep to Nov,"Tea estates, gardens, mountain train"
Pondicherry,Puducherry,5000,14000,Oct to Mar,"French colony, beaches, cafes"
Hampi,Karnataka,4000,10000,Oct to Mar,"Ruins, heritage, temples"
Mysore,Karnataka,5000,12000,Oct to Mar,"Palaces, cultural festivals"
Coorg,Karnataka,6000,14000,Oct to Mar,"Coffee plantations, waterfalls"
Ranthambore,Rajasthan,10000,20000,Oct to Jun,"Wildlife safari, tiger reserve"
Jaisalmer,Rajasthan,8000,18000,Oct to Mar,"Desert safari, forts, havelis"
Agra,Uttar Pradesh,5000,12000,Oct to Mar,"Monuments, heritage sites"
Amritsar,Punjab,4000,10000,Oct to Mar,"Golden Temple, culture"
Shillong,Meghalaya,6000,15000,Mar to Jun,"Hills, waterfalls, cleanest village"
Kaziranga,Assam,10000,20000,Nov to Apr,"Wildlife sanctuary, one-horned rhino"
Mahabalipuram,Tamil Nadu,4000,9000,Oct to Mar,"Ancient temples, rock-cut architecture"
Kanyakumari,Tamil Nadu,4000,10000,Oct to Mar,"Sunset view, ocean confluence"
Ranthambore,Rajasthan,10000,22000,Oct to Apr,"Tigers, jungle safari"
Sikkim (Gangtok),Sikkim,8000,20000,Mar to Jun,"Mountains, culture, monasteries"
Cherrapunji,Meghalaya,6000,14000,Oct to Apr,"Living root bridges, waterfalls"
Bodh Gaya,Bihar,3000,9000,Oct to Mar,"Spiritual, Buddhism, temples"
Mount Abu,Rajasthan,6000,14000,Oct to Mar,"Hill station, Dilwara temples"
Sundarbans,West Bengal,7000,18000,Nov to Mar,"Mangroves, Royal Bengal Tigers"
Aurangabad,Maharashtra,6000,13000,Oct to Mar,Ajanta & Ellora caves
Nainital,Uttarakhand,6000,15000,Mar to Jun,"Lake town, boating, scenic views"
Bikaner,Rajasthan,6000,15000,Oct to Mar,"Forts, camel festival"
Tawang,Arunachal Pradesh,10000,25000,Mar to Jun,"Monasteries, snow, scenic views"
Khajuraho,Madhya Pradesh,5000,12000,Oct to Mar,"Temples, carvings, heritage"
